Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,GameScoreAverage,GameScoreStd,GameScoreMedian,GameScoreMin,GameScoreMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,tdAbsErrAverage,tdAbsErrStd,tdAbsErrMedian,tdAbsErrMin,tdAbsErrMax
4433,5,17.056873321533203,0.028127431869506836,0,17.08500075340271,4,0,0,nan,nan,0.0,0.0,886.6,45.58333028641062,880.0,837,943,-20.2,0.7483314773547882,-20.0,-21.0,-19.0,21.8,0.7483314773547882,22.0,21,23,-1.200783527039744,0.5401378754235093,-1.4842199324617658,-1.859738934283028,-0.3691551729403808,-20.2,0.7483314773547882,-20.0,-21.0,-19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3795,5,30.621570348739624,3.3570244312286377,249,33.97859477996826,1000,1,0,300.39980215444245,0.0,0.0,0.0,759.0,1.0954451150103321,759.0,758,761,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8814695481320047,0.020610124157476938,-1.881355906633806,-1.900359501650309,-1.8439169240917934,-21.0,0.0,-21.0,-21.0,-21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4547,6,43.905614137649536,51.06659936904907,499,94.97221350669861,2000,2,250,20.96015320411664,5.24003830102916,8.0,4.0,757.8333333333334,1.0671873729054748,758.0,756,759,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.9036550609806202,0.02047103651643609,-1.900359501650309,-1.9389444971434633,-1.881355906633806,-21.0,0.0,-21.0,-21.0,-21.0,0.01236339377402328,0.013102535317020273,0.014971206896007061,6.770089385099709e-05,0.06327425688505173,0.029359290663808664,0.018270156309884173,0.031107877797334323,0.006309218594423453,0.11547156215904844,0.043865263,0.1470018,0.02031136,1.2313132e-05,1.0
5323,7,57.36819934844971,94.33623886108398,749,151.7044382095337,3000,3,500,23.110892804736224,5.777723201184056,8.0,5.333333333333333,760.4285714285714,0.4948716593053935,760.0,760,761,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8545600232207504,0.009217194220672738,-1.862542347567468,-1.862542347567468,-1.8439169240917934,-21.0,0.0,-21.0,-21.0,-21.0,0.010919108809204773,0.012648094556429837,0.007585674029542133,0.00012638841872103512,0.06043899804353714,0.025303379416353442,0.0160252184248578,0.021021889992966957,0.006906792607847337,0.09829996415141307,0.045454223,0.15217614,0.022281636,6.4477324e-05,0.9930011
3798,5,70.90991616249084,140.65121150016785,999,211.5611276626587,4000,4,750,21.591289879250173,5.397822469812543,8.0,6.0,759.6,1.3564659966250536,760.0,757,761,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8702198037932454,0.02570073234552483,-1.862542347567468,-1.9195550521720293,-1.8439169240917934,-21.0,0.0,-21.0,-21.0,-21.0,0.011856709660496562,0.014294639172812788,0.014592745341360569,0.00012693239841610193,0.07660185545682907,0.026507627312010153,0.01692269696166409,0.02246795251174874,0.006781948693988558,0.07924315336916389,0.0421549,0.13742802,0.023021825,3.1944364e-06,1.0
3794,5,84.2338240146637,186.0630693435669,1249,270.2968933582306,5000,5,1000,22.020680225161883,5.505170056290471,8.0,6.4,758.8,1.8330302779823358,758.0,757,761,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8854606908355909,0.034636958943008014,-1.900359501650309,-1.9195550521720293,-1.8439169240917934,-21.0,0.0,-21.0,-21.0,-21.0,0.01214645944777294,0.01416761672319958,0.014781436417251825,7.176875078584999e-05,0.08847243338823318,0.027879596995136077,0.01787307445868704,0.028281771499563707,0.005361577658782996,0.1101009086666023,0.041620087,0.13429213,0.022121705,0.00031503662,0.99278927
6095,8,98.99491381645203,232.06273412704468,1499,331.0576479434967,6000,6,1250,21.739288855843604,5.434822213960901,8.0,6.666666666666667,761.875,1.4523687548277813,762.5,759,763,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.827968209139061,0.026878152356544678,-1.8163503660766205,-1.881355906633806,-1.807222977302366,-21.0,0.0,-21.0,-21.0,-21.0,0.009619351316650863,0.012404290140931392,0.0002922517596744001,3.1677795050200075e-05,0.0612136535346508,0.022781909969178928,0.016720160290103495,0.013608639838212332,0.003986492178760337,0.0869846932756639,0.034913354,0.13219611,0.016749883,0.0008450113,0.9926371
3793,5,112.72035956382751,279.245322227478,1749,391.96568179130554,7000,7,1500,21.19425915914976,5.29856478978744,8.0,6.857142857142857,758.6,0.48989794855663565,759.0,758,759,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.888957344640407,0.009309822213785955,-1.881355906633806,-1.900359501650309,-1.881355906633806,-21.0,0.0,-21.0,-21.0,-21.0,0.0106871994242465,0.013483171875957012,0.00036880033439956605,2.8608805223484524e-05,0.06031804531812668,0.024202368846656414,0.017007709226465762,0.01646488480503026,0.00366970311011398,0.08303641715278563,0.044591095,0.15920039,0.015210843,0.00013082474,1.0
3795,5,126.42393708229065,326.45803928375244,1999,452.8819763660431,8000,8,1750,21.180733970639025,5.295183492659756,8.0,7.0,759.0,1.4142135623730951,759.0,757,761,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8815459464230808,0.026742319219984604,-1.881355906633806,-1.9195550521720293,-1.8439169240917934,-21.0,0.0,-21.0,-21.0,-21.0,0.009530914603441487,0.013013713697972357,0.0003366198798175901,5.5840435379650444e-05,0.060637325048446655,0.024137377832568894,0.019173644012624017,0.01608176856037795,0.005405928878238047,0.1342824530530788,0.03387694,0.12775704,0.015628269,0.00012354925,1.0
4549,6,140.5211057662964,374.14899373054504,2249,514.6700994968414,9000,9,2000,20.96833690161665,5.242084225404162,8.0,7.111111111111111,758.1666666666666,0.6871842709362769,758.0,757,759,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8972242283984277,0.013113369620039656,-1.900359501650309,-1.9195550521720293,-1.881355906633806,-21.0,0.0,-21.0,-21.0,-21.0,0.010659309884409595,0.012952965548651833,0.0003479708102531731,2.5154611648758873e-05,0.06021178886294365,0.025791832609031704,0.017609438647778666,0.017837678055586115,0.0033377252795986807,0.11028559781273019,0.045270965,0.16135642,0.017928112,0.00024977326,1.0
6848,9,154.17439985275269,421.61850905418396,2499,575.7929089069366,10000,10,2250,21.066151469678456,5.266537867419614,8.0,7.2,760.8888888888889,1.594744454934147,762.0,757,762,-21.0,0.0,-21.0,-21.0,-21.0,21.0,0.0,21.0,21,21,-1.8462161606281262,0.02993952354776523,-1.825477754850875,-1.9195550521720293,-1.825477754850875,-21.0,0.0,-21.0,-21.0,-21.0,0.011677144951143418,0.013354705769045525,0.014777476899325848,5.374678221414797e-05,0.06181429326534271,0.028120522357655785,0.016514468297450104,0.028547350113072162,0.00520431243504026,0.08546255427376713,0.045846947,0.15288615,0.02103433,0.00018399581,1.0
