Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,GameScoreAverage,GameScoreStd,GameScoreMedian,GameScoreMin,GameScoreMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,tdAbsErrAverage,tdAbsErrStd,tdAbsErrMedian,tdAbsErrMin,tdAbsErrMax,priorityAverage,priorityStd,priorityMedian,priorityMin,priorityMax
18697,100,13.949048042297363,0.007447481155395508,0,13.956495523452759,960,0,0,nan,nan,0.0,0.0,186.97,55.651676524611545,183.5,114,323,1.8,1.4628738838327795,2.0,0.0,8.0,1.77,1.362754563375225,2.0,0,5,1.3143326355582936,0.9830220912556757,1.3668593560741302,0.0,4.740588385247437,1.8,1.4628738838327795,2.0,0.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14840,100,24.9055917263031,538.4629142284393,1040,563.3685059547424,999360,4811,937,1855.9752137664427,1.7401624792858998,3.600384245917387,3.600384245917387,148.4,30.474579570520742,173.0,113,180,1.06,0.9981983770774223,2.0,0.0,2.0,1.06,0.9981983770774223,2.0,0,2,0.7917302961617898,0.7466081903140526,1.412646017259237,0.0,1.5505416684136275,1.06,0.9981983770774223,2.0,0.0,2.0,0.0007976981653716851,0.00069623664980153,0.00040026879287324846,3.431409641052596e-05,0.0036558888386934996,0.005525928294890684,0.007003614887196311,0.0031343837491672817,0.00013353201597587214,0.07596284091951253,0.018615399,0.05900705,0.00032892404,0.0,1.2270027,0.16493241,0.14809231,0.150898,6.2864274e-08,1.1300714
14752,100,35.04065132141113,1102.6702852249146,2081,1137.7109365463257,1998720,10327,1978,1771.2636370471014,1.8450662885907307,4.0,3.8001921229586935,147.52,33.9836666650319,120.0,113,306,1.01,1.0723339032223125,0.0,0.0,5.0,1.01,1.0723339032223125,0.0,0,5,0.7486272528305973,0.7836097019188438,0.0,0.0,3.2251273610942977,1.01,1.0723339032223125,0.0,0.0,5.0,7.248661073192944e-05,5.41861739228697e-05,6.144171493360773e-05,3.931683750124648e-06,0.00041733874240890145,0.0023958939049530457,0.0020252225590182953,0.0018834534909847908,0.0001496966242019575,0.027734595088420414,0.0051955758,0.02601021,0.0,0.0,0.98447216,0.078514785,0.1056133,0.023462422,1.1598923e-05,0.99248075
15975,100,47.02011823654175,1659.24356508255,3122,1706.2636833190918,2998080,15748,3019,1795.558709278361,1.8703736554982928,4.0,3.866794748639129,159.75,44.643784561795385,148.0,114,253,1.22,1.269488085804668,1.0,0.0,4.0,1.22,1.269488085804668,1.0,0,4,0.8732754656534518,0.8865564052834414,0.8502341582884777,0.0,2.8081768364866724,1.22,1.269488085804668,1.0,0.0,4.0,7.480817582708527e-05,0.00014824568608350603,3.2585285225650296e-05,1.3170498505132855e-06,0.0020424393005669117,0.0026219923811295533,0.005117543459782937,0.001494017102560121,0.00010157273023734101,0.12094458059922236,0.0036856558,0.024576154,0.0,0.0,1.2233884,0.05305899,0.10267499,0.010999553,2.2516819e-05,1.1103715
11620,100,55.80674362182617,2222.2990703582764,4163,2278.1058139801025,3997440,21341,4060,1774.8871836545084,1.8488408163067793,4.0,3.900096061479347,116.2,3.555277766926235,116.0,112,145,0.01,0.09949874371066199,0.0,0.0,1.0,0.01,0.09949874371066199,0.0,0,1,0.007427123967299725,0.07389895041296705,0.0,0.0,0.7427123967299725,0.01,0.09949874371066199,0.0,0.0,1.0,5.7973450852479206e-05,6.507142552453952e-05,4.029299452668056e-05,4.098938006791286e-06,0.0011262977495789528,0.0023092421767885573,0.0023594473319712133,0.0016594826839517113,0.0003095128726938296,0.02847020885996897,0.0037643807,0.019884322,0.0,0.0,1.0981408,0.051088467,0.086512305,0.011894455,1.0301126e-05,1.0802004
21081,101,69.37301659584045,2779.4383041858673,5204,2848.8113207817078,4996800,26795,5101,1793.7347422731607,1.8684736898678755,4.0,3.920076849183477,208.72277227722773,67.44577856159587,193.0,117,294,2.3168316831683167,1.658644878524509,2.0,0.0,4.0,2.3168316831683167,1.658644878524509,2.0,0,4,1.7256806714524255,1.1777463132770003,1.713505400809173,0.0,2.9461254270308115,2.3168316831683167,1.658644878524509,2.0,0.0,4.0,8.65621234130042e-05,0.0002815313320932155,2.0763996872119606e-05,3.795636075665243e-06,0.004661474842578173,0.003953517828214163,0.0392850246669873,0.0012592191030652052,0.00014315308203966809,1.2495361371033897,0.0033059702,0.019694429,0.0,0.0,1.2375411,0.038368363,0.07757142,0.00823511,5.2456744e-07,1.147349
20213,100,83.20545959472656,3324.7686488628387,6245,3407.9741084575653,5996160,30365,6142,1832.5772804591954,1.9089346671449952,4.0,3.9333973743195645,202.13,61.575263702236796,212.5,116,289,1.87,1.285729364990938,2.0,0.0,4.0,1.87,1.285729364990938,2.0,0,4,1.423613333841932,0.9495066819014109,1.7083648846067456,0.0,2.896564689641896,1.87,1.285729364990938,2.0,0.0,4.0,0.00011270648545136182,9.025565623951963e-05,8.776813774602488e-05,1.0118777936440893e-05,0.0007253247313201427,0.004217780265409788,0.003806566897533441,0.0031864703470299905,0.0003464974688293338,0.04851127962712573,0.0072135925,0.027313177,0.0,0.0,1.235801,0.07574821,0.103420265,0.04236683,1.0968418e-05,1.1434276
24194,100,99.84617042541504,3866.466524362564,7286,3966.312694787979,6995520,34264,7183,1844.8660133253684,1.9217354305472587,4.0,3.942912035131055,241.94,49.30655534510599,287.0,188,294,3.02,0.999799979995999,4.0,2.0,4.0,3.02,0.999799979995999,4.0,2,4,2.2749391272262485,0.5645620701426728,2.751170007775463,1.6547946381253884,2.896564689641896,3.02,0.999799979995999,4.0,2.0,4.0,5.773065388506846e-05,5.44118997311753e-05,4.3413023377070203e-05,5.35094386577839e-06,0.0007216393132694066,0.0028349349293293473,0.0023257131633883633,0.0022895008988571743,0.00035276719844561235,0.02541539350078387,0.0038169988,0.013462741,0.0,0.0,0.7606059,0.040343408,0.053310618,0.028208438,5.3970143e-07,0.78632736
18302,100,112.34751057624817,4427.794121980667,8327,4540.141632556915,7994880,38221,8224,1780.3507332271067,1.8545320137782362,4.0,3.9500480307396733,183.02,41.88412109618633,177.0,114,290,1.73,1.0474254150057656,2.0,0.0,4.0,1.73,1.0474254150057656,2.0,0,4,1.3421430786129134,0.7629160549863233,1.4297256744609121,0.0,2.9318914345463614,1.73,1.0474254150057656,2.0,0.0,4.0,0.00016107994177989222,0.00017637723119868077,0.00012558036542031914,7.94808420323534e-06,0.002166369464248419,0.0053956671743745225,0.00523444466306626,0.003882772221487925,0.00047098282573149587,0.07037099622765218,0.007399583,0.026909173,0.0,0.0,0.7895946,0.06548339,0.09014297,0.03025918,1.4065299e-06,1.0650855
22548,100,127.73771667480469,4959.588909864426,9368,5087.32662653923,8994240,42437,9265,1879.2211258348086,1.9575220060779257,4.0,3.955598249546376,225.48,35.406632147099224,237.5,188,273,2.82,0.8761278445523804,3.0,2.0,4.0,2.82,0.8761278445523804,3.0,2,4,2.165180640446361,0.48932314872765986,2.2591199780380764,1.6855690188712977,2.855756966465987,2.82,0.8761278445523804,3.0,2.0,4.0,0.00010730640572019865,6.353305336076892e-05,9.338936797576025e-05,1.3853828932042234e-05,0.0007287780754268169,0.0036083282929235175,0.0027045560271505287,0.002824035895534601,0.0004722106416780591,0.025438866000495098,0.0072024195,0.025158778,0.00014042074,0.0,0.7840307,0.06955785,0.08954472,0.03258668,5.364418e-06,0.8888954
